Time,ETH / USD Denominated Closing Price
2017/10/12,302.722358
2017/10/13,336.1189354
2017/10/14,339.2399059
2017/10/15,335.2929068
2017/10/16,334.3870351
2017/10/17,315.6739103
2017/10/18,313.2929196
2017/10/19,308.3611894
2017/10/20,304.104844
2017/10/21,299.9644892
2017/10/22,294.8624833
2017/10/23,285.2722744
2017/10/24,297.2013451
2017/10/25,297.9639746
2017/10/26,296.1367262
2017/10/27,297.0759798
2017/10/28,295.0605243
2017/10/29,304.3368568
2017/10/30,306.1568469
2017/10/31,304.7587902
2017/11/1,290.5201312
2017/11/2,284.5071274
2017/11/3,305.859424
2017/11/4,300.03686
2017/11/5,296.3086274
2017/11/6,297.9873095
2017/11/7,292.0590684
2017/11/8,309.8271657
2017/11/9,319.4455769
2017/11/10,299.6642344
2017/11/11,316.1478261
2017/11/12,307.1768182
2017/11/13,315.5370403
2017/11/14,334.214479
2017/11/15,330.7840938
2017/11/16,329.6620605
2017/11/17,332.2765888
2017/11/18,347.4298364
2017/11/19,355.9324454
2017/11/20,369.5595336
2017/11/21,361.1971265
2017/11/22,380.8191072
2017/11/23,414.9802212
2017/11/24,473.4505655
2017/11/25,466.8029047
2017/11/26,472.2779755
2017/11/27,477.6482466
2017/11/28,467.9242697
2017/11/29,429.0466905
2017/11/30,438.5586002
2017/12/1,461.5862323
2017/12/2,459.8570959
2017/12/3,464.3860728
2017/12/4,466.9004284
2017/12/5,458.0766654
2017/12/6,434.2336987
2017/12/7,431.7498171
2017/12/8,462.9339857
2017/12/9,483.0601788
2017/12/10,444.877737
2017/12/11,506.3383933
2017/12/12,683.9059562
2017/12/13,701.598019
2017/12/14,698.0891975
2017/12/15,689.4642902
2017/12/16,697.8278565
2017/12/17,729.3312247
2017/12/18,787.7285041
2017/12/19,823.8472256
2017/12/20,797.2872507
2017/12/21,793.748969
2017/12/22,682.3345459
2017/12/23,725.15086
2017/12/24,688.8907937
2017/12/25,737.8946333
2017/12/26,750.0030652
2017/12/27,740.7217335
2017/12/28,716.3525123
2017/12/29,747.1003413
2017/12/30,713.7828326
2017/12/31,742.2554649
2018/1/1,756.0717656
2018/1/2,863.9183077
2018/1/3,943.6481262
2018/1/4,952.3545435
2018/1/5,958.5528463
2018/1/6,1006.157475
2018/1/7,1102.889537
2018/1/8,1134.69906
2018/1/9,1288.406875
2018/1/10,1231.767295
2018/1/11,1128.563876
2018/1/12,1257.231134
2018/1/13,1380.144541
2018/1/14,1361.915076
2018/1/15,1281.721398
2018/1/16,1061.187089
2018/1/17,1012.622891
2018/1/18,1018.766875
2018/1/19,1029.934385
2018/1/20,1151.945532
2018/1/21,1039.423233
2018/1/22,992.0374357
2018/1/23,985.2127683
2018/1/24,1047.1202
2018/1/25,1043.621772
2018/1/26,1040.468171
2018/1/27,1092.768236
2018/1/28,1214.831299
2018/1/29,1162.0083
2018/1/30,1051.933488
2018/1/31,1096.250057
2018/2/1,1019.171008
2018/2/2,912.8209287
2018/2/3,960.8938261
2018/2/4,836.6724573
2018/2/5,692.7628273
2018/2/6,789.0430207
2018/2/7,754.5365748
2018/2/8,808.4506335
2018/2/9,873.5673743
2018/2/10,850.7148495
2018/2/11,814.7832709
2018/2/12,867.5724404
2018/2/13,840.0907838
2018/2/14,920.4636815
2018/2/15,929.8692157
2018/2/16,939.3394573
2018/2/17,975.2318063
2018/2/18,915.3109056
2018/2/19,937.8401832
2018/2/20,885.5531411
2018/2/21,840.667043
2018/2/22,807.0768989
2018/2/23,855.767194
